trajectory_id,confidence,path_length_meters,num_segments,continuity_score,avg_segment_length
0,0.9784844446919266,4337.887507031836,23,0.7727272727272727,188.60380465355811
1,0.49927564616189757,3337.8345619218394,19,0.4444444444444444,175.67550325904418
2,0.33471110884938765,15791.469035847536,60,0.7457627118644068,263.19115059745894
3,0.49082502839928516,9507.410354588099,42,0.7560975609756098,226.36691320447855
4,0.9112890246562833,5646.555559096588,29,0.6428571428571429,194.70881238264096
5,0.49925255282662256,19819.67566477892,26,0.52,762.2952178761122
6,0.44030899993976896,4840.783553027557,36,0.6857142857142857,134.46620980632102
7,0.49721706922518466,3958.9278700997875,33,0.71875,119.96751121514508
8,0.9728574157106339,4356.1010547952,38,0.5675675675675675,114.63423828408422
9,0.526396830854788,2580.9931830670303,19,0.7222222222222222,135.84174647721213
10,0.9289484275617218,3038.4599368132035,22,0.8095238095238095,138.11181530969108
11,0.9875659864558323,7572.069120600595,44,0.5813953488372093,172.0924800136499
12,0.9978794245432114,7051.234300229295,32,0.6129032258064516,220.35107188216546
13,0.496321586149406,5200.234964053695,34,0.6363636363636364,152.94808717804986
14,0.9967412044603955,2928.4358677266564,28,0.7777777777777778,104.58699527595202
